26619874054 66538459@N00 Forrest of Nicene Mark Waterfall 1463905140 beautiful dressing wife 37.044322-121.900348
26921818010 66538459@N00 Serrena at beach 1463894340  36.970809-121.954464
25361919233 66538459@N00 _MG_9691 1458565740  37.482687-121.924949
25361919743 66538459@N00 _MG_9689 1458565740  37.482687-121.924949
25990641575 66538459@N00 _MG_9688 1458565740  37.482687-121.924949
25964730626 66538459@N00 _MG_9685 1458565740  37.482687-121.924949

26238173875 66538459@N00 Uvas Canyon Waterfall Shoot 1458292500  37.085836-121.797512
26145722912 66538459@N00 roseglam 1458292380  37.085836-121.797512
26145729312 66538459@N00 _MG_9627 1458292260  37.085836-121.797512
26145726022 66538459@N00 _MG_9562_pp 1458291540  37.085836-121.797512
26145727292 66538459@N00 _MG_9482_pp 1458289920  37.085836-121.797512
25965286560 66538459@N00 _MG_9475_pp 1458289920  37.085836-121.797512

24941635363 66538459@N00 Bryce Canyon with snow 1456056000  37.625059-112.165904
24937828724 66538459@N00 Bryce Canyon with snow 1456056000  37.625059-112.165904
25449767732 66538459@N00 Bryce Canyon with snow and moon 1456055880  37.625059-112.165904
25542191156 66538459@N00 Down in the hoodoos 1456052880  37.625059-112.165904
25272732750 66538459@N00 Hoodoo bridge 1456052160  37.625059-112.165904
24937841554 66538459@N00 Abdallah avoiding the ice trail 1456052040  37.625059-112.165904
24941651023 66538459@N00 Bryce Canyon ice trail 1456051620  37.625059-112.165904
25542204456 66538459@N00 Bryce Canyon 1456051020  37.625059-112.165904
24941654413 66538459@N00 Bryce Canyon 1456050840  37.625059-112.165904
25967705806 66538459@N00 Serrena at Lagunitas 1454763540 california beer sampler flight ale craft petaluma sucks lagunitas lager sumpin 38.272078-122.662482
25898660291 66538459@N00 Calistoga Mustard 1454746740  38.578604-122.606649

24026350680 66538459@N00 Pleasanton Ridge 1452420780  37.623427-121.901423
26172050681 66538459@N00 Castle Montelena 1450774500  38.603301-122.59887
23480240602 66538459@N00 Serrena Carter in Calistoga 1449385800  38.603301-122.59887
23562731956 66538459@N00 _MG_7179_pp 1449385680  38.603301-122.59887
23480246412 66538459@N00 Serrena in front of Chateau Montelena 1449385440  38.603301-122.59887
23480247752 66538459@N00 _MG_7162_pp 1449385200  38.603301-122.59887
22961408734 66538459@N00 Serrena in front of fireplace. 1449377760 beauty sunshine model floor gorgeous mexican german stunning wife brunette hardwood syrian ageless 38.582446-122.576844

21736329438 66538459@N00 Brochure Work 1443866760  37.568392-122.021498
21736332428 66538459@N00 Serrena at the Backdoor Lounge 1443360780  37.557647-122.005577
21736335248 66538459@N00 Serrena at the Backdoor Lounge 1443360060  37.557647-122.005577
21736119750 66538459@N00 Serrena at the Backdoor Lounge 1443360060  37.557647-122.005577
21912167162 66538459@N00 Serrena at the Backdoor Lounge 1443359700  37.557647-122.005577
21912169232 66538459@N00 Serrena at the Backdoor Lounge 1443359700  37.557647-122.005577
21736345128 66538459@N00 Quarry Lakes 1443349980  37.575726-122.010104
21924188115 66538459@N00 Quarry Lakes 1443349980  37.575726-122.010104
21838634536 66538459@N00 _MG_8976 1443326520  37.57374-122.003849
21838618686 66538459@N00 _MG_8974 1443326460  37.57374-122.003849
21874374671 66538459@N00 _MG_8970 1443326040  37.57374-122.003849
21864733585 66538459@N00 _MG_8957 1443325320  37.57374-122.003849
21874367631 66538459@N00 _MG_8954 1443323640  37.57374-122.003849
21864727745 66538459@N00 _MG_8941 1443323520  37.57374-122.003849
21864711755 66538459@N00 _MG_8939 1443323520  37.57374-122.003849
21864694665 66538459@N00 _MG_8936 1443323460  37.57374-122.003849
21241926274 66538459@N00 _MG_8933 1443323400  37.57374-122.003849
21676934860 66538459@N00 Serrena 1443265860  37.83353-122.237845
21853082402 66538459@N00 Serrena 1443261420  37.833971-122.239476

21478437746 66538459@N00 _MG_8806 1442487360  37.565164-121.980568
21513306891 66538459@N00 _MG_8805 1442487300  37.565164-121.980568
21317770819 66538459@N00 _MG_8804 1442487060  37.565164-121.980568
21316627840 66538459@N00 _MG_8803 1442487000  37.565164-121.980568
21316628050 66538459@N00 _MG_8802 1442487000  37.565164-121.980568
21478441126 66538459@N00 _MG_8801 1442487000  37.565164-121.980568
21316625190 66538459@N00 _MG_8800 1442486940  37.565164-121.980568
21316628430 66538459@N00 _MG_8799 1442486880  37.565164-121.980568
20881922804 66538459@N00 _MG_8798 1442486760  37.565164-121.980568
21513308171 66538459@N00 _MG_8797 1442486760  37.565164-121.980568
21316628830 66538459@N00 _MG_8796 1442486760  37.565164-121.980568
20881923234 66538459@N00 _MG_8795 1442486700  37.565164-121.980568
21513304771 66538459@N00 _MG_8794 1442486640  37.565164-121.980568
20883548913 66538459@N00 _MG_8793 1442486640  37.565164-121.980568
21513308851 66538459@N00 _MG_8792 1442486640  37.565164-121.980568
21316629620 66538459@N00 _MG_8791 1442486580  37.565164-121.980568
21513309231 66538459@N00 _MG_8790 1442486580  37.565164-121.980568
20883549633 66538459@N00 _MG_8785 1442486460  37.565164-121.980568
20881924254 66538459@N00 _MG_8784 1442486460  37.565164-121.980568
21316854188 66538459@N00 _MG_8783 1442486340  37.565164-121.980568
21493580512 66538459@N00 _MG_8782 1442486340  37.565164-121.980568
21493580732 66538459@N00 _MG_8781 1442486340  37.565164-121.980568
21317768489 66538459@N00 _MG_8780 1442486340  37.565164-121.980568
21317773749 66538459@N00 _MG_8778 1442486280  37.565164-121.980568
21513310801 66538459@N00 _MG_8777 1442486280  37.565164-121.980568
21513310971 66538459@N00 _MG_8776 1442486160  37.565164-121.980568
21513311211 66538459@N00 _MG_8775 1442486160  37.565164-121.980568
21317774569 66538459@N00 _MG_8772 1442486100  37.565164-121.980568
21513311601 66538459@N00 _MG_8770 1442486040  37.565164-121.980568
21317774829 66538459@N00 _MG_8769 1442486040  37.565164-121.980568
20881926694 66538459@N00 _MG_8768 1442485980  37.565164-121.980568
21478438626 66538459@N00 _MG_8767 1442485980  37.565164-121.980568
21316856268 66538459@N00 _MG_8765 1442485920  37.565164-121.980568
21317775649 66538459@N00 _MG_8764 1442485920  37.565164-121.980568
20881927384 66538459@N00 _MG_8762 1442485920  37.565164-121.980568
21513312561 66538459@N00 _MG_8761 1442485860  37.565164-121.980568
20883552913 66538459@N00 _MG_8758 1442485800  37.565164-121.980568
20883553103 66538459@N00 _MG_8757 1442485740  37.565164-121.980568
20881928114 66538459@N00 _MG_8756 1442485620  37.565164-121.980568
21493583542 66538459@N00 _MG_8753 1442485560  37.565164-121.980568
21504680805 66538459@N00 _MG_8739 1442485200  37.565164-121.980568
21493583832 66538459@N00 _MG_8738 1442485140  37.565164-121.980568
21504672445 66538459@N00 _MG_8737 1442485140  37.565164-121.980568
21513313871 66538459@N00 _MG_8736 1442485140  37.565164-121.980568
21316634520 66538459@N00 _MG_8735 1442485080  37.565164-121.980568
20881929254 66538459@N00 _MG_8734 1442485080  37.565164-121.980568
21478447456 66538459@N00 _MG_8733 1442485080  37.565164-121.980568
21317778139 66538459@N00 _MG_8732 1442485020  37.565164-121.980568
20881929884 66538459@N00 _MG_8731 1442485020  37.565164-121.980568
21478439096 66538459@N00 _MG_8730 1442485020  37.565164-121.980568
21478448066 66538459@N00 _MG_8729 1442484960  37.565164-121.980568
21316636170 66538459@N00 _MG_8728 1442484960  37.565164-121.980568
20883555653 66538459@N00 _MG_8727 1442484960  37.565164-121.980568
21504683335 66538459@N00 _MG_8726 1442484900  37.565164-121.980568
21316860428 66538459@N00 _MG_8725 1442484900  37.565164-121.980568
20883556283 66538459@N00 _MG_8724 1442484840  37.565164-121.980568
20883556673 66538459@N00 _MG_8723 1442484840  37.565164-121.980568
21504684195 66538459@N00 _MG_8722 1442484780  37.565164-121.980568
21478439206 66538459@N00 _MG_8721 1442484780  37.565164-121.980568
21316637390 66538459@N00 _MG_8720 1442484780  37.565164-121.980568
21317780839 66538459@N00 _MG_8719 1442484720  37.565164-121.980568
21513305951 66538459@N00 _MG_8718 1442484720  37.565164-121.980568
21504684665 66538459@N00 _MG_8717 1442484660  37.565164-121.980568
20881932624 66538459@N00 _MG_8716 1442484660  37.565164-121.980568
21316638340 66538459@N00 _MG_8715 1442484600  37.565164-121.980568
20881933214 66538459@N00 _MG_8714 1442484600  37.565164-121.980568
21504685575 66538459@N00 _MG_8713 1442484600  37.565164-121.980568
21513306151 66538459@N00 _MG_8712 1442484600  37.565164-121.980568
21513318521 66538459@N00 _MG_8711 1442484540  37.565164-121.980568
21478451586 66538459@N00 _MG_8710 1442484540  37.565164-121.980568
21513318831 66538459@N00 _MG_8709 1442484540  37.565164-121.980568
21316850638 66538459@N00 _MG_8708 1442484540  37.565164-121.980568
21478452156 66538459@N00 _MG_8707 1442484480  37.565164-121.980568
21504686695 66538459@N00 _MG_8706 1442484480  37.565164-121.980568
21316864418 66538459@N00 _MG_8705 1442484480  37.565164-121.980568
21504673725 66538459@N00 _MG_8704 1442484420  37.565164-121.980568
21513319641 66538459@N00 _MG_8702 1442484360  37.565164-121.980568
21478452946 66538459@N00 _MG_8701 1442484240  37.565164-121.980568
21478453226 66538459@N00 _MG_8698 1442484240  37.565164-121.980568

21500955976 66538459@N00 Quarry Lakes 1442321580  37.571504-121.998989
21410131261 66538459@N00 Serrena 1442143140 coyote park old sexy canon bay san francisco mark gorgeous flash 45 east hills ii area wife l 5d carter years regional 70300 serrena 580exii 37.551577-122.08644
21335181169 66538459@N00 South San Francisco Las Fiestas Patrias 1442129820  37.656568-122.416115
21530785061 66538459@N00 South San Francisco Las Fiestas Patrias 1442129820  37.656568-122.416115
21522114485 66538459@N00 South San Francisco Las Fiestas Patrias 1442129820  37.656568-122.416115
21530786161 66538459@N00 South San Francisco Las Fiestas Patrias 1442129820  37.656568-122.416115
21522115915 66538459@N00 South San Francisco Las Fiestas Patrias 1442129760  37.656568-122.416115
20899346424 66538459@N00 South San Francisco Las Fiestas Patrias 1442129760  37.656568-122.416115
21334266938 66538459@N00 South San Francisco Las Fiestas Patrias 1442129760  37.656568-122.416115
21334050780 66538459@N00 South San Francisco Las Fiestas Patrias 1442129760  37.656568-122.416115
21522118485 66538459@N00 South San Francisco Las Fiestas Patrias 1442129760  37.656568-122.416115
21522119705 66538459@N00 South San Francisco Las Fiestas Patrias 1442129760  37.656568-122.416115
21335189289 66538459@N00 South San Francisco Las Fiestas Patrias 1442129640  37.656568-122.416115
20899352304 66538459@N00 South San Francisco Las Fiestas Patrias 1442129640  37.656568-122.416115
21510966162 66538459@N00 South San Francisco Las Fiestas Patrias 1442129640  37.656568-122.416115
21495891556 66538459@N00 South San Francisco Las Fiestas Patrias 1442129640  37.656568-122.416115
20900956173 66538459@N00 South San Francisco Las Fiestas Patrias 1442129640  37.656568-122.416115
21522098725 66538459@N00 South San Francisco Las Fiestas Patrias 1442129580  37.656568-122.416115
20900981733 66538459@N00 South San Francisco Las Fiestas Patrias 1442129580  37.656568-122.416115
21334058570 66538459@N00 South San Francisco Las Fiestas Patrias 1442129580  37.656568-122.416115
21334276188 66538459@N00 South San Francisco Las Fiestas Patrias 1442129580  37.656568-122.416115
21495868686 66538459@N00 South San Francisco Las Fiestas Patrias 1442129520  37.656568-122.416115
21335168269 66538459@N00 South San Francisco Las Fiestas Patrias 1442129520  37.656568-122.416115
21495869586 66538459@N00 South San Francisco Las Fiestas Patrias 1442129520  37.656568-122.416115
21334251528 66538459@N00 South San Francisco Las Fiestas Patrias 1442129460  37.656568-122.416115
20900959133 66538459@N00 South San Francisco Las Fiestas Patrias 1442129460  37.656568-122.416115
21334035580 66538459@N00 South San Francisco Las Fiestas Patrias 1442129460  37.656568-122.416115
21335171619 66538459@N00 South San Francisco Las Fiestas Patrias 1442129400  37.656568-122.416115
20900961543 66538459@N00 South San Francisco Las Fiestas Patrias 1442129400  37.656568-122.416115
20900962333 66538459@N00 South San Francisco Las Fiestas Patrias 1442129400  37.656568-122.416115
21522106135 66538459@N00 South San Francisco Las Fiestas Patrias 1442129400  37.656568-122.416115
21335174699 66538459@N00 South San Francisco Las Fiestas Patrias 1442129400  37.656568-122.416115
21335174979 66538459@N00 South San Francisco Las Fiestas Patrias 1442129340  37.656568-122.416115
20899337574 66538459@N00 South San Francisco Las Fiestas Patrias 1442129340  37.656568-122.416115
21530779621 66538459@N00 South San Francisco Las Fiestas Patrias 1442129280  37.656568-122.416115
21510952572 66538459@N00 South San Francisco Las Fiestas Patrias 1442129220  37.656568-122.416115
21334042340 66538459@N00 South San Francisco Las Fiestas Patrias 1442129040  37.656568-122.416115
20900968213 66538459@N00 South San Francisco Las Fiestas Patrias 1442129040  37.656568-122.416115
20899341364 66538459@N00 South San Francisco Las Fiestas Patrias 1442128860  37.656568-122.416115
20900969983 66538459@N00 South San Francisco Las Fiestas Patrias 1442128740  37.656568-122.416115

21494356696 66538459@N00 _MG_8452 1441961220  37.810699-122.477087
20899445793 66538459@N00 _MG_8445 1441955760  37.769442-122.510336
20899446043 66538459@N00 _MG_8443 1441955760  37.769442-122.510336
21494356366 66538459@N00 _MG_8442 1441952100  37.769535-122.512503
21494357136 66538459@N00 _MG_8440 1441951560  37.770443-122.509435
21332731858 66538459@N00 _MG_8426-HDR 1441951020  37.770443-122.509435
20897815634 66538459@N00 _MG_8405 1441947000  37.767118-122.471594

20718959620 66538459@N00 Serrena in Balboa Park 1440238320  32.732138-117.152044
20286200674 66538459@N00 _MG_7784 1439978580  34.255921-119.270925
20720748550 66538459@N00 _MG_7782 1439978580  34.255921-119.270925
20908792815 66538459@N00 _MG_7781 1439978580  34.255921-119.270925
20286202014 66538459@N00 _MG_7780 1439978580  34.255921-119.270925
20836578362 66538459@N00 Ventura Beach 1439978580  34.255921-119.270925

19672992891 66538459@N00 Serrena and Sarah 1436617260  44.012565-123.083129
19672993381 66538459@N00 _MG_7669 1436616420  44.012565-123.083129
19672994331 66538459@N00 Charles showing duck to daughter 1436616300  44.012565-123.083129
19480529310 66538459@N00 Cyrus on skateboard ramp 1436614800  44.012565-123.083129
19480530110 66538459@N00 Sarah's parents and uncle 1436614680  44.012565-123.083129
19045948464 66538459@N00 Adam's son 1436614680  44.012565-123.083129
19481890389 66538459@N00 _MG_7649 1436613540  44.012565-123.083129
19481890899 66538459@N00 _MG_7648 1436613540  44.012565-123.083129
19661428772 66538459@N00 _MG_7647 1436613480  44.012565-123.083129
19642326776 66538459@N00 Adam and parents 1436613480  44.012565-123.083129
19661430832 66538459@N00 Sarah's parents 1436613420  44.012565-123.083129
19481894139 66538459@N00 Sarah and Charles family 1436613360  44.012565-123.083129
19481885819 66538459@N00 Esther glamorized 1436611980  44.012565-123.083129
19480502568 66538459@N00 _MG_7627 1436611980  44.012565-123.083129
19480503358 66538459@N00 _MG_7626 1436611980  44.012565-123.083129
19668523305 66538459@N00 Grandma and grandaughter 1436611860  44.012565-123.083129
19480505238 66538459@N00 Sarah and Charles 1436611860  44.012565-123.083129
19668524495 66538459@N00 Esther 1436611860  44.012565-123.083129
19480506098 66538459@N00 Charles daughters 1436611800  44.012565-123.083129
19642333876 66538459@N00 Charles and daughter hugging after toast 1436611800  44.012565-123.083129
19045958944 66538459@N00 Charles daughter toasting 1436611800  44.012565-123.083129
19480542080 66538459@N00 _MG_7608 1436611740  44.012565-123.083129
19642336086 66538459@N00 Charles and Sarah 1436611740  44.012565-123.083129
19668528675 66538459@N00 Charles and Sarah 1436611740  44.012565-123.083129
19480510268 66538459@N00 Charles 1436611740  44.012565-123.083129
19480545250 66538459@N00 Charles dad 1436611620  44.012565-123.083129
19480512088 66538459@N00 Charles daughters 1436611560  44.012565-123.083129
19642339976 66538459@N00 Adam, son and mom 1436611500  44.012565-123.083129
19480513438 66538459@N00 Sarah's mom 1436611440  44.012565-123.083129
19661445062 66538459@N00 _MG_7596 1436611440  44.012565-123.083129
19481907629 66538459@N00 _MG_7593 1436611380  44.012565-123.083129
19045966734 66538459@N00 _MG_7591 1436611380  44.012565-123.083129
19047613153 66538459@N00 _MG_7590 1436611380  44.012565-123.083129
19668535155 66538459@N00 _MG_7589 1436611380  44.012565-123.083129
19481909459 66538459@N00 _MG_7587 1436611380  44.012565-123.083129

19668536225 66538459@N00 Sarah and Charles daughter 1436609160  44.012565-123.083129
19481910409 66538459@N00 _MG_7581 1436609040  44.012565-123.083129
19480518458 66538459@N00 Adam and mother 1436609040  44.012565-123.083129
19668538755 66538459@N00 Charles daughter glamorized 1436608920  44.012565-123.083129
19661451802 66538459@N00 Charles daughter 1436608920  44.012565-123.083129
19480556590 66538459@N00 Esther 1436608920  44.012565-123.083129
19480557520 66538459@N00 _MG_7567 1436608860  44.012565-123.083129
19481916079 66538459@N00 _MG_7561 1436608800  44.012565-123.083129
19045975884 66538459@N00 Charles' and Sarah's daughters 1436608800  44.012565-123.083129
19668544555 66538459@N00 _MG_7550 1436608740  44.012565-123.083129
19045977404 66538459@N00 _MG_7548 1436608680  44.012565-123.083129
19642354226 66538459@N00 Sarah and Adam 1436608320  44.012565-123.083129
19480562710 66538459@N00 _MG_7543 1436608080  44.012565-123.083129
19661459442 66538459@N00 Serrena and Adam 1436607540  44.012565-123.083129
19045980604 66538459@N00 Adam 1436607540  44.012565-123.083129
19673029761 66538459@N00 Glamorous Serrena 1436607480  44.012565-123.083129
19673030931 66538459@N00 Cupcakes 1436593860  44.012565-123.083129

19371924199 66538459@N00 Bakpacking trail 1436425560  38.075865-119.300365
19370477678 66538459@N00 Leave No Trace 1436250240  38.075865-119.300365
19551653632 66538459@N00 Summit Peak 1436246640  38.075865-119.300365
26172045701 66538459@N00 Eastern Sierra backpacking trip 1436186400  38.075865-119.300365
19562726391 66538459@N00 East Lake Campsite 1436186400  38.075865-119.300365
18935917974 66538459@N00 Rainbow trout 1436167200  38.075865-119.300365
25569943996 66538459@N00 Big rainbow trout for Serrena 1436164500  38.075865-119.300365
18937548113 66538459@N00 Rainbow trout 1436164500  38.075865-119.300365
25965446230 66538459@N00 Eastern Sierra Backpacking 1436141640  38.075865-119.300365
19562729941 66538459@N00 East Lake kitchen 1436141640  38.075865-119.300365
18937550723 66538459@N00 Yellowstone Park 1436004240  38.075865-119.300365
18935922594 66538459@N00 Yellowstone Park 1435991160  38.075865-119.300365
18937554183 66538459@N00 Serrena looking sporty 1435991100  38.075865-119.300365
19562737291 66538459@N00 Her first catch 1435977960  38.075865-119.300365

18969032785 66538459@N00 Dethrone a King 1434688080  37.804477-122.251149
18942788186 66538459@N00 Steve Kerr and family 1434687900  37.804477-122.251149
18781373318 66538459@N00 Steve Kerr 1434687900  37.804477-122.251149
18781344270 66538459@N00 _MG_6791 1434687840  37.804477-122.251149
18346469514 66538459@N00 Stephen Curry 1434687780  37.804477-122.251149
18969033615 66538459@N00 Stephen Curry with NBA Championship Trophy 1434687780  37.804477-122.251149
18969033845 66538459@N00 _MG_6769 1434687780  37.804477-122.251149
18781373938 66538459@N00 David Lee 1434687600  37.804477-122.251149
18346548824 66538459@N00 Leandro Barbosa 1434687420  37.804477-122.251149
18782832189 66538459@N00 Leandro Barbosa 1434687420  37.804477-122.251149
18963656772 66538459@N00 Harrison Barnes 1434687420  37.804477-122.251149
18348390403 66538459@N00 Rick Berry 1434687180  37.804477-122.251149
18942789466 66538459@N00 Al Attles 1434687120  37.804477-122.251149
18348391063 66538459@N00 Nate Thurmond 1434687120  37.804477-122.251149
18963657592 66538459@N00 Gavin Newsom 1434687060  37.804477-122.251149
18963657712 66538459@N00 Marreese Speights 1434687060  37.804477-122.251149
18942789976 66538459@N00 Draymond Green and surprise guest Marshawn Lynch 1434687060  37.804477-122.251149
18963658032 66538459@N00 Draymond Green and Marshawn Lynch 1434687060  37.804477-122.251149
18348391703 66538459@N00 Congresswoman Barbara Lee 1434687060  37.804477-122.251149
18972520671 66538459@N00 Nancy Pelosi 1434687000  37.804477-122.251149
18972012871 66538459@N00 Libby Schaaf 1434686940  37.804477-122.251149
18348392373 66538459@N00 Libby Schaaf, and M.C. Hammer 1434686940  37.804477-122.251149
18781347130 66538459@N00 Warriors Cheerleader 1434686820  37.804477-122.251149
18781347680 66538459@N00 Klay Thompson 1434686820  37.804477-122.251149

17382160268 66538459@N00 Saturday, October 09, 2004 (6) 1431414120  37.873718-122.257071
17528515921 66538459@N00 Serrena in hammock 1431243240  37.567227-122.013323
17526476552 66538459@N00 Serrena in hammock 1431243180  37.567227-122.013323
17340920538 66538459@N00 Ben and Serrena Mothers Day 2015 1431242220  37.567227-122.013323
17342399449 66538459@N00 Ben and Serrena 1431242160  37.567227-122.013323
17502391706 66538459@N00 Ben and Serrena 1431242160  37.567227-122.013323
16908472923 66538459@N00 Ben at the park 1431241020  37.567227-122.013323
17502456066 66538459@N00 Serrena using the slap strap 1431239640  37.567227-122.013323
17502493136 66538459@N00 Serrena 1431239400  37.567227-122.013323
17528899095 66538459@N00 Ben with hammock 1431239340  37.567227-122.013323

17341331748 66538459@N00 Bliss 1425825600  37.820527-122.37438
17528972541 66538459@N00 Tulip and windmill 1425802200  37.770443-122.509435
16298582690 66538459@N00 Serrena walking the Lands End circle 1422690600  37.787899-122.505884

15215563317 66538459@N00 Treasure Island Bliss 1411054500  37.820527-122.37438
14955336235 66538459@N00 "Pub Scouts" 1408172940  37.807071-122.430782
14785003657 66538459@N00 In Italy? 1406297640  37.80466-122.257887
14785002257 66538459@N00 Serrena and Corey 1406297400  37.80466-122.257887
14971199922 66538459@N00 Serrena on the lake 1406297340  37.80466-122.257887
14784949898 66538459@N00 Serrena 1406297160  37.80466-122.257887

14511633921 66538459@N00 Epic Southwest HAT 2014 1403417520  37.956677-119.051971
14328420869 66538459@N00 Epic Southwest HAT 2014 1403329980  37.291485-112.947435
14328421069 66538459@N00 Epic Southwest HAT 2014 1403326380  37.291485-112.947435
14513631874 66538459@N00 Epic Southwest HAT 2014 1403321760  37.291485-112.947435
14328578797 66538459@N00 Epic Southwest HAT 2014 1403321160  37.291485-112.947435
14513924632 66538459@N00 Epic Southwest HAT 2014 1403320080  37.291485-112.947435
14328365600 66538459@N00 Epic Southwest HAT 2014 1403320020  37.291485-112.947435
14511636791 66538459@N00 Epic Southwest HAT 2014 1403314860  37.291485-112.947435

14139518347 66538459@N00 Sunshine in Elk California 1400908080  39.13506-123.719615
14322709021 66538459@N00 Sunset behind my Sunshine 1400850480  39.13506-123.719615
15215423289 66538459@N00 Anniversary at Greenwood Pier Inn 1400848860  39.13506-123.719615
15401774702 66538459@N00 _MG_3085 1400821080  39.13506-123.719615
14139379798 66538459@N00 Pacific Ocean directly beneath our cottage at Greenwood Pier Inn 1400760660  39.13506-123.719615
14322708101 66538459@N00 View from hot tub in Greenwood Pier Inn Sea Castle 1400755260  39.13506-123.719615

13741556745 66538459@N00 _MG_1366 1396760400  36.25021-121.771345
13741605793 66538459@N00 _MG_1276 1396753920  36.25021-121.771345
13741611603 66538459@N00 Serrena backpacking in Big Sur 1396753800  36.25021-121.771345
13741576755 66538459@N00 Serrena by the camp fire 1396706400  36.25021-121.771345
13741626263 66538459@N00 In the golden sunlight during Big Sur backpacking trip 1396702560  36.25021-121.771345
13741640163 66538459@N00 _MG_1012 1396696260  36.25021-121.771345
13741609835 66538459@N00 Serrena looking for a campsite 1396688220  36.25021-121.771345

13070590523 66538459@N00 Campanille 1394362560  37.868802-122.259206
13070473065 66538459@N00 Sather Gate 1394362380  37.868802-122.259206
13070798244 66538459@N00 Sather Gate 1394362380  37.868802-122.259206
13070798404 66538459@N00 Sather Gate 1394362320  37.868802-122.259206

12658709503 66538459@N00 Serrena testing out the bars 1392544800  37.826688-122.422875
12659051764 66538459@N00 Serrena and Corey 1392543780  37.826688-122.422875
12659051904 66538459@N00 Serrena in Alcatraz Library 1392542400  37.826688-122.422875
12658579035 66538459@N00 Serrena in Alcatraz Prison 1392542280  37.826688-122.422875

11724170654 66538459@N00 Serrena in the valley 1388479200  37.859187-119.620513
11166390743 66538459@N00 Ben, Serrena, Irma, and Joe at Quarry Lakes bench 1385894880  37.575726-122.010104

11166266094 66538459@N00 Serrena looking hot as ever in front of our Aptos apartment 1381556520  36.983053-121.916742
10044577385 66538459@N00 Bongo Burger and coffee 1380432240  37.875577-122.260129
10044532044 66538459@N00 Bongo Burger this time 1380430800  37.875577-122.260129
